,user_id,feature_id,timestamp
0,1,1,2025-10-11 00:00:00
1,1,2,2025-10-12 06:00:00
2,1,3,2025-10-12 11:00:00
3,1,1,2025-10-14 03:00:00
4,1,1,2025-10-16 12:00:00
5,1,1,2025-10-18 14:00:00
6,1,3,2025-10-20 22:00:00
7,1,1,2025-10-22 22:00:00
8,1,4,2025-10-24 15:00:00
9,1,3,2025-10-26 15:00:00
10,1,4,2025-10-28 12:00:00
11,1,3,2025-10-30 18:00:00
12,1,1,2025-11-01 04:00:00
13,1,3,2025-11-03 20:00:00
14,1,3,2025-11-05 21:00:00
15,1,4,2025-11-07 07:00:00
16,1,1,2025-11-09 00:00:00
17,1,3,2025-11-11 15:00:00
18,1,3,2025-11-13 19:00:00
19,1,1,2025-11-15 13:00:00
20,2,1,2025-09-10 00:00:00
21,2,2,2025-09-11 21:00:00
22,2,3,2025-09-11 20:00:00
23,2,1,2025-09-12 08:00:00
24,2,4,2025-09-13 10:00:00
25,2,3,2025-09-14 19:00:00
26,2,3,2025-09-15 22:00:00
27,2,3,2025-09-16 03:00:00
28,2,3,2025-09-17 22:00:00
29,2,3,2025-09-18 02:00:00
30,2,4,2025-09-19 10:00:00
31,2,1,2025-09-20 21:00:00
32,2,3,2025-09-21 19:00:00
33,2,4,2025-09-22 11:00:00
34,2,3,2025-09-23 16:00:00
35,2,3,2025-09-24 05:00:00
36,2,4,2025-09-25 12:00:00
37,2,3,2025-09-26 09:00:00
38,2,3,2025-09-27 13:00:00
39,2,4,2025-09-28 02:00:00
40,2,3,2025-09-29 19:00:00
41,2,4,2025-09-30 08:00:00
42,2,4,2025-10-01 20:00:00
43,2,4,2025-10-02 01:00:00
44,2,4,2025-10-03 01:00:00
45,2,3,2025-10-04 17:00:00
46,2,3,2025-10-05 19:00:00
47,2,1,2025-10-06 09:00:00
48,2,1,2025-10-07 01:00:00
49,2,1,2025-10-08 21:00:00
50,2,4,2025-10-09 03:00:00
51,2,1,2025-10-10 13:00:00
52,2,3,2025-10-11 13:00:00
53,2,1,2025-10-12 13:00:00
54,2,4,2025-10-13 19:00:00
55,2,1,2025-10-14 02:00:00
56,2,1,2025-10-15 05:00:00
57,2,1,2025-10-16 12:00:00
58,2,1,2025-10-17 01:00:00
59,2,1,2025-10-18 01:00:00
60,2,1,2025-10-19 14:00:00
61,2,1,2025-10-20 11:00:00
62,2,3,2025-10-21 13:00:00
63,2,1,2025-10-22 05:00:00
